Supplier name 1,Supplier name 2,Similarity score
ENTERPRISE AUTOVERMIETUNG,ENTERPRISE AUTOVERMIETUNG - HAMBURG,86
"ROTULOS AYLLON,S.A.",ROTULOS AYLLON S.A.,100
CEP ORGANISATION,COMITE D'ORGANISATION,81
CEP ORGANISATION,DTH ORGANISATION,81
UNITED PARCEL SERVICE ITALIA,UNITED PARCEL SERVICE,86
UNITED PARCEL SERVICE ITALIA,UNITED PARCEL SERVICE BELGIUM NV,80
SYMONDS GROUP LTD,SYMONDS GROUP LIMITED,89
KOLCIAN SOLC BALASTIK,KOCIAN SOLC BALASTIK,98
GBC (UNITED KINGDON) LTD,CPM UNITED KINGDOM UK LTD,81
INS TRONIC,INSTRON,82
PSB GMBH,MPS GMBH,88
HAYS PERSONNEL,APTUS PERSONNEL,83
SPENCE ASSOCIATES,SPENCE & ASSOCIATES,100
DE BORRIAS GROEP,"BORRIAS GROUP, DE",94
NPOWER LIMITED,POINTER LIMITED,83
NPOWER LIMITED,NCR LIMITED,80
"GETRONICS ESPAÑA SOLUTIONS,S.L.",GETRONICS ESPANA SOLUTIONS,91
METRO HOLLAND B.V.,TWI HOLLAND B.V.,81
DATACOLOR INTERNATIONAL,ADATO INTERNATIONAL,86
DATACOLOR INTERNATIONAL,ART INTERNATIONAL,80
GETRONICS ESPANA SOLUTIONS,"GETRONICS ESPAÑA SOLUTIONS,S.L.",91
METRO SPORT,SPORT ECO,80
METRO SPORT,EUROSPORT,80
"INSTRONIC 2000,S.L","INSTRONIC 2000, S.L.",100
TORAY INTERNATIONAL INC.,ORB INTERNATIONAL,80
ADT FIRE AND SECURITY PLC,ADT FIRE & SECURITY,81
IBM BELGIUM NV,IFMA BELGIUM VZW,80
IBM BELGIUM NV,INAPA BELGIUM NV,80
TWI HOLLAND B.V.,METRO HOLLAND B.V.,81
IFMA BELGIUM VZW,IBM BELGIUM NV,80
HAMMERSON MANAGEMENT SERVICES,EMERSON MANAGEMENT SERVICES,93
MARITIM HOTEL,MARRIOTT HOTEL,81
MARITIM HOTEL,MARITIM HOTEL KOELN,81
SRS SOFTWARE GMBH,SOFTWARE SPECTRUM GMBH,82
VITEC GMBH,PRINTEC GMBH,82
VITEC GMBH,MATEC GMBH,80
EMERSON MANAGEMENT SERVICES,HAMMERSON MANAGEMENT SERVICES,93
EMERSON MANAGEMENT SERVICES,FX MANAGEMENT SERVICES,82
BUPA INTERNATIONAL,ART INTERNATIONAL,86
BUPA INTERNATIONAL,CHIPMAN INTERNATIONAL,82
BUPA INTERNATIONAL,ADATO INTERNATIONAL,81
BUPA INTERNATIONAL,CARMA INTERNATIONAL,81
IKEA ITALIA RETAIL S.R.L.,IKEA ITALIA RETAIL SRL,87
STUDIO LEGALE MONDINI RUSCONI,STUDIO LEGALE MONDINI-RUSCONI ASS.P,91
LBM - LUTZ BONGEN GMBH,LUTZ BONGEN GMBH,89
HAAGEN PARTNERS,HAAGEN & PARTNERS,100
CPM ITALIA SRL,COMPASS ITALIA SRL,81
CPM ITALIA SRL,CPM ITALIA S.R.L.,80
FEDERAL EXPRESS EUROPE INC,FEDERAL EXPRESS EUROPE INC & CO VOF,88
FEDERAL EXPRESS EUROPE INC,FEDEX-FEDERAL EXPRESS EUROPE INC.FI,85
TV LICENCING,TV LICENSING,92
GRAVO OFFSET BV,GRK OFFSET BV,86
PATRY TRAITEUR,AZUR TRAITEUR,81
B & S DIENSTLEISTUNGEN,3B DIENSTLEISTUNG GMBH,81
COMITE D'ORGANISATION,CEP ORGANISATION,81
CAPI-LUX-VAK,CAPI LUX VAK,100
BAUER ITALIA S.P.A.,BINDA ITALIA S.P.A.,83
CONNEXXIONTOURS,CONNEXXION TOURS,97
PLANMARK DEVELOPMENT LIMITED,PLANMARK DEVELOPMENT,83
INAPA BELGIUM NV,FNAC BELGIUM NV,84
INAPA BELGIUM NV,IBM BELGIUM NV,80
CPM NEDERLAND B.V. (FIELD,MIELE NEDERLAND B.V,86
FIEGE GOTH AG,FIEGE GOTH,87
NOLEN VAN DER LIST ADVOCATEN,"STEENHOVEN ADVOCATEN, VAN DER",86
RMS RELOCATION MANAGEMENT SERVICES,RMS RELOCATION SERVICES,81
ART INTERNATIONAL,ADATO INTERNATIONAL,89
ART INTERNATIONAL,CARMA INTERNATIONAL,89
ART INTERNATIONAL,BUPA INTERNATIONAL,86
ART INTERNATIONAL,INTERNATIONAL HOTEL,83
EXHIBITS INTERNATIONAL,EXHIBITS INTERNATIONAL B.V.,92
EXHIBITS INTERNATIONAL,EXHIBITS INTERNATIONAL - AMSTERDAM,81
BRIT HOTEL,ART HOTEL,84
BRIT HOTEL,HOTEL BERLIN,82
BRIT HOTEL,DORINT HOTEL,82
