Supplier name 1,Supplier name 2,Similarity score
MINT INSTALLATIONS LTD,LARKIN INSTALLATIONS,81
CHIPMAN INTERNATIONAL,CARMA INTERNATIONAL,85
CHIPMAN INTERNATIONAL,BUPA INTERNATIONAL,82
INDUSTRIE- UND HANDELSKAMMER,INDUSTRIE-UND HANDELSKAMMER,100
INTERTECMAN S.R.L.,CENTROTECMAN S.R.L.,86
NYS MONTAGEBEDRIJF NV,NYS METAALBEDRIJF NV,83
DELAMOTTE,DELOITTE,82
ECOM SERVICES NV,CONDI-SERVICES,80
RTC EUROPE,RTC EUROPE LTD,83
RTC EUROPE,PRS EUROPE,80
RTC EUROPE,SBR EUROPE,80
IKEA BUSINESS,BUSINESS GAS,80
MAINETTI BV,MAINETTI,84
BUREAU VERTIAS,BUREAU VERITAS,93
MTL - MOEBEL TRANSPORT LAGERSERVICE,MOBEL TRANSPORT LAGERSERVICE GMBH,85
PLANMARK DEVELOPMENT,PLANMARK DEVELOPMENT LIMITED,83
ALITAIR SECURITE,ELITE SECURITE,80
MANPOWER,NPOWER,86
MANPOWER,MANPOWER PLC,80
SUNE WENTZEL,WENTZEL SUNE,100
OPP LIMITED,PAPA G LIMITED,80
UNITED PARCEL SERVICE,UNITED PARCEL SERVICE ITALIA,86
AKQA LTD,AKQA LIMITED,80
"WHITE AND CASE, FEDDERSEN","WHITE, CASE & FEDDERSEN",91
M-R-S COMMUNICATIONS LTD,SPIN COMMUNICATIONS LTD,85
M-R-S COMMUNICATIONS LTD,SIEMENS COMMUNICATIONS LTD,84
M-R-S COMMUNICATIONS LTD,"SPIN COMUNICATIONS, LTD",83
M-R-S COMMUNICATIONS LTD,M T COMMUNICATIONS,81
MAINETTI S.P.A.,MAINETTI S.A.,92
ORACLE NEDERLAND BV,VITRA NEDERLAND BV,81
HARRISON & JOHNSON,JOHN HARRIS,81
IF SOLUTIONS LTD,IF SOLUTIONS LIMITED,89
ADATO INTERNATIONAL,ART INTERNATIONAL,89
ADATO INTERNATIONAL,DATACOLOR INTERNATIONAL,86
ADATO INTERNATIONAL,CARMA INTERNATIONAL,84
ADATO INTERNATIONAL,BUPA INTERNATIONAL,81
FEDERAL EXPRESS EUROPE INC & CO VOF,FEDERAL EXPRESS EUROPE INC,88
"GOMEZ, ACEBO & POMBO C.B.",GOMEZ ACEBO & POMBO,89
"GOMEZ, ACEBO & POMBO C.B.","GOMEZ, ACEBO AND POMBO",86
"GOMEZ, ACEBO & POMBO C.B.",GOMEZ-ACEBO AND POMBO,86
ARNO FORDS LTD,ARNO FORDS,83
EDM - EUROPEAN DECISION MAKER,EUROPEAN DECISION MAKER,92
CHRIS KAY,CHRIS KAY LTD,82
AUTREMENT PRODUCTION EVTS,AUTREMENT PRODUCTION D'EVENEMENTS,86
LEE HECHT HARRISON,LEE HECHT HARRISON GMBH,88
IKEA DEUTSCHLAND GMBH,IBM  DEUTSCHLAND GMBH,88
IKEA DEUTSCHLAND GMBH,UUNET DEUTSCHLAND GMBH,84
IKEA DEUTSCHLAND GMBH,HTS DEUTSCHLAND GMBH,83
IKEA DEUTSCHLAND GMBH,STAPLES DEUTSCHLAND GMBH,80
ALL:SPORTS,A & R SPORTS,80
INTERNATIONAL HOTEL,EL INTERNATIONALE,89
INTERNATIONAL HOTEL,ART INTERNATIONAL,83
INTERNATIONAL HOTEL,HOTEL INTERCONTINENTAL,83
ITS INTERTEK TESTING SERVICES,INTERTEK TESTING SERVICES,93
STAPLES DEUTSCHLAND GMBH,HTS DEUTSCHLAND GMBH,86
STAPLES DEUTSCHLAND GMBH,IKEA DEUTSCHLAND GMBH,80
"ELSAMEX, S.A.","ESAVE, S.A.",80
FIEGE GOTH NV,FIEGE GOTH,87
JOURNAUX OFFICIELS,JOURNAL OFFICIEL,88
INTEGRA COMUNICACION GLOBAL S.L,"INTEGRA COMUNICACION GLOBAL, S.L.",100
INTO LIGHTING DESIGN,INTO LIGHTING DESIGN LIMITED,83
FREUD COMMUNICATIONS LTD,EMAP COMMUNICATIONS LTD,85
FREUD COMMUNICATIONS LTD,KANE COMMUNICATIONS LTD,85
FREUD COMMUNICATIONS LTD,M T COMMUNICATIONS,81
FREUD COMMUNICATIONS LTD,DEE COMMUNICATIONS LIMITED,80
OCTAGON CIS,OCTAGON CIS B.V.,85
STANDAARD BOEKHANDEL,STANDAARD BOEKHANDEL NV,93
VIDAL ASSOCIATES,HDC ASSOCIATES,80
AIR BUSINESS SERVICE,AA BUSINESS & TAXISERVICE,84
INTERNATIONAL SCHOOL SERVICES,INTERNATIONAL SCHOOL WIESBADEN,81
KANE COMMUNICATIONS LTD,EMAP COMMUNICATIONS LTD,87
KANE COMMUNICATIONS LTD,FREUD COMMUNICATIONS LTD,85
KANE COMMUNICATIONS LTD,M T COMMUNICATIONS,83
KANE COMMUNICATIONS LTD,DEE COMMUNICATIONS LIMITED,82
ART HOTEL,BRIT HOTEL,84
ART HOTEL,HOTEL CARLTON,82
TMP WORLDWIDE LIMITED,TMP WORLDWIDE LTD,89
TMP WORLDWIDE LIMITED,BBC WORLDWIDE LIMITED,81
UUNET DEUTSCHLAND GMBH,HTS DEUTSCHLAND GMBH,86
UUNET DEUTSCHLAND GMBH,IKEA DEUTSCHLAND GMBH,84
UUNET DEUTSCHLAND GMBH,IBM  DEUTSCHLAND GMBH,81
SCHILLEBEECKX A BVBA,SCHILLEBEEKX NV,80
@ONCE,ATONCE,80
DRURY COMMUNICATIONS,PURE COMMUNICATIONS,87
DRURY COMMUNICATIONS,MDS COMMUNICATION,81
"TELEFONICA DATA ESPAÑA, S.A.",TELEFONICA DE ESPAÑA,82
AVC SERVICE GMBH,ELTEC - SERVICE GMBH,82
PRODEA SRL,PRODEA  SRL,100
"VIVES VIDAL, VIVESA S.A.",VIVES VIDAL  VIVESA  SA,93
CITY  OF WESTMINSTER,CITY OF WESTMINISTER,97
ALBANY ENVIRONMENTAL SERVICES LTD,ELITE SERVICES (ENVIRONMENTAL) LTD,86
ALBANY ENVIRONMENTAL SERVICES LTD,AM ENVIROMENTAL SERVICES,81
CARMA INTERNATIONAL,ART INTERNATIONAL,89
CARMA INTERNATIONAL,CHIPMAN INTERNATIONAL,85
CARMA INTERNATIONAL,ADATO INTERNATIONAL,84
CARMA INTERNATIONAL,CVS INTERNATIONAL,83
FEDERAL EXPRESS GMBH,FEDERAL EXPRESS,86
EUROPEAN DECISION MAKER,EDM - EUROPEAN DECISION MAKER,92
HOTEL LAPERSHOEK,LAPERSHOEK HOTEL,100
RENTOKIL INITIAL GMBH,RENTOKIL INITIAL,86
REED BUSINESS INFORMATION S.P.A.,REED BUSINESS INFORMATION BV,85
HAUFE SERVICE GMBH,HAUFE SERVICE CENTER GMBH,84
MS&L GMBH,MMS GMBH,82
MS&L GMBH,MPS GMBH,82
TMP WORLDWIDE LTD,TMP WORLDWIDE LIMITED,89
TMP WORLDWIDE LTD,TMP WORLDWIDE,87
ESSETRE DI G. F. SCOTTI,ESSETRE DI G.F.SCOTTI,100
DMX MUSIC,DMX MUSIC LTD,82
GOMEZ ACEBO & POMBO,"GOMEZ, ACEBO AND POMBO",89
GOMEZ ACEBO & POMBO,GOMEZ-ACEBO AND POMBO,89
GOMEZ ACEBO & POMBO,"GOMEZ, ACEBO & POMBO C.B.",89
BAG PRO DEUTSCHLAND GMBH,ADT DEUTSCHLAND GMBH,82
BAG PRO DEUTSCHLAND GMBH,POWWOW DEUTSCHLAND GMBH,81
ERNST WAGNER GMBH & CO. KG,WAGNER ENTSORGUNG GMBH & CO. KG,82
NCR LIMITED,NPOWER LIMITED,80
HSL HEATON STATIONARY LTD.,HEATON STATIONERY LIMITED,80
DIP CONSULTING GROUP NV,NUS CONSULTING GROUP,84
DPD GERMANY WEST GMBH & CO. KG,DPD GERMANY GMBH & CO. KG,90
GENIX IMAGING,GENIX IMAGING LTD,87
CHRIS KAY LIMITED,CHRIS KAY LTD,87
LONG DISTANCE,LONG DISTANCE SARL,84
LARKIN INSTALLATIONS,MINT INSTALLATIONS LTD,81
LARKIN INSTALLATIONS,RYSTAN INSTALLATIONS,80
TWI-UK LTD,TWI-UK LIMITED,83
DORINT HOTEL,BRIT HOTEL,82
EDM PUBLICATIONS,EDM PUBLICATION,97
EDM PUBLICATIONS,PG PUBLICATIONS,84
BUREAU VERITAS,BUREAU VERTIAS,93
EDSON WILLIAMS,SEKO WILLIAMS,81
BAUER FLORIAN,FRANK & BAUER,83
KEY SECURITY SYSTEMS,1001 SECURITY SYSTEMS,83
LISBON MARRIOTT HOTEL,MARRIOTT HOTEL,80
MM FOTODESIGN - MARCUS MUELLER,FOTODESIGN - MARCUS MUELLER,94
CREATIVE CONNECTIONS,CREATIVE TRAVEL CONNECTIONS,85
MMS GMBH,MPS GMBH,88
MMS GMBH,MS&L GMBH,82
INSTRON,INS TRONIC,82
IF SOLUTIONS LIMITED,IF SOLUTIONS LTD,89
IF SOLUTIONS LIMITED,QTAC SOLUTIONS LIMITED,81
ELTEC - SERVICE GMBH,AVC SERVICE GMBH,82
DIGITAL MEDIA GMBH,CONDOR DIGITAL MEDIA GMBH,84
GIMAR S.R.L.,ART S.R.L.,80
SUPER DESIGN LIMITED,STORM DESIGN LIMITED,85
MPS GMBH,PSB GMBH,88
MPS GMBH,MMS GMBH,88
MPS GMBH,MS&L GMBH,82
HEJO SPORT,SPORT ECO,84
MEDI CENTRE,MEDIA CENTER,87
"GOMEZ-ACEBO & POMBO ABOGADOS, S.C.P","GOMEZ-ACEBO & POMBO, ABOGADOS, S.C.",97
DATA PROTECTION,3 PROTECTION,81
CPM ITALIA S.R.L.,ISM ITALIA S.R.L.,88
CPM ITALIA S.R.L.,DRYCE ITALIA S.R.L.,82
CPM ITALIA S.R.L.,CPM ITALIA SRL,80
ENTERPRISE AUTOVERMIETUNG - BERLIN,ENTERPRISE AUTOVERMIETUNG,88
ENTERPRISE AUTOVERMIETUNG - BERLIN,ENTERPRISE AUTOVERMIETUNG GMBH,81
ARTILLUS ILLUMINATING SOLUTIONS LTD,ARTILLUS ILLUMINATING SOLUTIONS,94
IM.TECH S.A.S. DI SERMASI GIUSEPPE,IM.TECH SAS DI SERMASI GIUSEPPE & C,94
FX MANAGEMENT SERVICES,EMERSON MANAGEMENT SERVICES,82
FX MANAGEMENT SERVICES,SEPRIC MANAGEMENT,82
COMPASS ITALIA SRL,CPM ITALIA SRL,81
NIRVANA SOLUTIONS LIMITED,QTAC SOLUTIONS LIMITED,81
REX INTERNATIONAL BV,SCHELDE INTERNATIONAL BV,82
REX INTERNATIONAL BV,EL INTERNATIONALE,81
REX INTERNATIONAL BV,ORB INTERNATIONAL,81
REX INTERNATIONAL BV,CVS INTERNATIONAL,81
ITSA LIMITED,ARESA LIMITED,80
SLA ORGANISATION,OSCAR ORGANISATION,88
HANSCOMB (UK) LIMITED,CANON UK LIMITED,80
SPIN COMMUNICATIONS LTD,"SPIN COMUNICATIONS, LTD",98
SPIN COMMUNICATIONS LTD,SIEMENS COMMUNICATIONS LTD,90
SPIN COMMUNICATIONS LTD,M-R-S COMMUNICATIONS LTD,85
SPIN COMMUNICATIONS LTD,SPIE COMMUNICATION,83
MEDIA CENTER,MEDI CENTRE,87
CVS INTERNATIONAL,CARMA INTERNATIONAL,83
CVS INTERNATIONAL,EL INTERNATIONALE,82
CVS INTERNATIONAL,ART INTERNATIONAL,82
CVS INTERNATIONAL,REX INTERNATIONAL BV,81
STACI,SACI,89
TENSATOR LIMITED,TENON LIMITED,83
"TELEFONICA MOVILES ESPAÑA, S.A.",TELEFONICA MOVILES ESPAÑA,92
HODSON ASSOCIATES,HDC ASSOCIATES,84
CANAL+ NEDERLAND BV,GAK NEDERLAND BV,82
ARNO FORDS,ARNO FORDS LTD,83
LINAKER LIMITED,POINTER LIMITED,80
SPENCE & ASSOCIATES,SPENCE ASSOCIATES,100
MARITIM HOTEL KOELN,MARITIM HOTEL,81
C.F.M. SRL,C.D.M. SRL,89
MG TRANSPORTS,MSM TRANSPORTS,89
RENTOKIL INITIAL,RENTOKIL INITIAL GMBH,86
DATAVISION DEUTSCHLAND GMBH,ADT DEUTSCHLAND GMBH,81
RADISSON SAS HOTEL,RADISSON SAS HOTEL - KOELN,86
JOURNAL OFFICIEL,JOURNAUX OFFICIELS,88
MAISON VAN DEN BOER,MAISON VAN DEN BOER BV,93
OSCAR ORGANISATION,SLA ORGANISATION,88
BULLETIN INTERNATIONAL,BUPA INTERNATIONAL,80
"ARTIVIDRIO,S.A.","ARTIVIDRIO, S.A.",100
MDS COMMUNICATION,SPIE COMMUNICATION,86
MDS COMMUNICATION,M T COMMUNICATIONS,86
MDS COMMUNICATION,DRURY COMMUNICATIONS,81
MDS COMMUNICATION,360 COMMUNICATIONS,80
OPAL PUBLICITE,CANAL PUBLICITE,83
TELEFONICA MOVILES ESPAÑA,"TELEFONICA MOVILES ESPAÑA, S.A.",92
RYSTAN INSTALLATIONS,LARKIN INSTALLATIONS,80
GOLFCLUB RHEINHESSEN,GOLF HOTEL RHEINHESSEN,81
LAPERSHOEK HOTEL,HOTEL LAPERSHOEK,100
STUDIO FOTO 21.,STUDIO FOTO 21,100
RMG ENVIROMENTAL SERVICES,AM ENVIROMENTAL SERVICES,86
RMG ENVIROMENTAL SERVICES,PEST PRO ENVIROMENTAL SERVICES,84
KENT SECURITE,ELITE SECURITE,81
RTC EUROPE LTD,RTC EUROPE,83
SNOW + ROCK,SNOW & ROCK,100
AMERICAN CHAMBER OF COMMERCE/EUROPE,AMERICAN CHAMBER OF COMMERCE,89
SACI,STACI,89
ACE EUROPE,APCO EUROPE,86
ACE EUROPE,AIG EUROPE,80
POSTE   LA,LA POSTE,100
AKQA LIMITED,KAOS LIMITED,83
AKQA LIMITED,ARESA LIMITED,80
AKQA LIMITED,AKQA LTD,80
MAINETTI,MAINETTI BV,84
MAINETTI,MAINETTI S.A.,80
GETTY IMAGES,GETTY IMAGES INC,86
POWWOW DEUTSCHLAND GMBH,BAG PRO DEUTSCHLAND GMBH,81
NOVA INTERNATIONAL,ORB INTERNATIONAL,86
NOVA INTERNATIONAL,PIRA INTERNATIONAL,83
NOVA INTERNATIONAL,TONGE INTERNATIONAL,81
NOVA INTERNATIONAL,INTERNATIONAL PAPER,81
ADT TELESURVEILLANCE,PERIN TELESURVEILLANCE,81
EUROPEAN COMMUNICATION PROJECTS BV,EUROPEAN COMMUNICATION PROJECTS,95
THE NCC GROUP,THE NPD GROUP INC,80
FM MEDIA,FIT MEDIA,82
ROSIE LEE,ROSIE LEHNER,86
ERLACH KLAINGUTI STETTLER WILLE,CMS VON ERLACH KLAINGUTI STETTLER W,82
RMS RELOCATION SERVICES,RMS RELOCATION MANAGEMENT SERVICES,81
RUN2DAY AMSTERDAM,RUN2DAY ROTTERDAM,82
CENTRO COMPUTER S.P.A.,CENTRO COMPUTER SPA,85
SBR EUROPE,PRS EUROPE,80
SBR EUROPE,RTC EUROPE,80
VPS LTD,UPS LTD,86
STEHLIN AND ASSOCIES.,STEHLIN ET ASSOCIES,82
MUNDOCOM INTERNATIONAL,NOVA INTERNATIONAL,80
DUTCH HOUSING CENTRE BV,DUTCH HOUSING CENTRE B.V.,94
DUTCH HOUSING CENTRE BV,DUTCH HOUSING CENTR,90
INSTITUTE OF SOCIAL & ETHICAL ACC/A,INSTITUTE OF SOCIAL AND ETHICAL,91
SYMONDS GROUP LIMITED,SYMONDS GROUP LTD,89
INSTITUTE OF SOCIAL AND ETHICAL,INSTITUTE OF SOCIAL & ETHICAL ACC/A,91
INTERNATIONAL UP! MODELOS,MODELLE INTERNATIONAL,84
CITY OF SUNDERLAND,CITY OF SUNDERLAND COLLEGE,82
ADP PARTNERSHIP LIMITED,BRIDGEND LIMITED PARTNERSHIP,82
FNAC BELGIUM NV,INAPA BELGIUM NV,84
CTOP EUROPE,APCO EUROPE,82
MERCURIUS HOTEL,MERCURE HOTEL,86
COMPENDIUM BV,COMPENIC BV,83
SPRINT PRINT & EMBROIDERY,SPRINTS PRINT & EMBROIDERY LTD,90
TELEFONICA DE ESPAÑA,"TELEFONICA DATA ESPAÑA, S.A.",82
AUTOHAUS EULER GMBH,AUTOHAUS BOESNER GMBH,85
TELEFOONGIDS MEDIA BV,TELEFOONGIDS MEDIA,92
JMU SERVICES LIMITED,DAUBNEY SERVICES LIMITED,82
PTR ASSOCIATES LIMITED,JTC ASSOCIATES LIMITED,82
PTR ASSOCIATES LIMITED,PRIME ASSOCIATES (1995) LIMITED,82
PERIN TELESURVEILLANCE,ADT TELESURVEILLANCE,81
MODELLE INTERNATIONAL,INTERNATIONAL UP! MODELOS,84
MODELLE INTERNATIONAL,TONGE INTERNATIONAL,80
STUDIO LEGALE ASSOCIATO CIRILLO,STUDIO LEGALE ASSOCIATO,85
C.D.M. SRL,C.F.M. SRL,89
PIRA INTERNATIONAL,ORB INTERNATIONAL,86
PIRA INTERNATIONAL,INTERNATIONAL PAPER,86
PIRA INTERNATIONAL,NOVA INTERNATIONAL,83
WAGNER ENTSORGUNG GMBH & CO. KG,ERNST WAGNER GMBH & CO. KG,82
WAGNER ENTSORGUNG GMBH & CO. KG,KOCH ENTSORGUNG GMBH & CO. KG,81
KAISER & KRAFT,KAISER KRAFT NV,89
AUTOHAUS BOESNER GMBH,AUTOHAUS EULER GMBH,85
CED COMMUNICATION EVENTS DESIGN SRL,CED COMMUNICATION EVENTS DESIGN,94
LEAX LIMITED,HEXFAX LIMITED,85
LEAX LIMITED,ARESA LIMITED,80
AMETRA,AMET,80
HAAGEN & PARTNERS,HAAGEN PARTNERS,100
CARE & HEALTH INTERNATIONAL,CARMA INTERNATIONAL,82
CARE & HEALTH INTERNATIONAL,ART INTERNATIONAL,81
DTH ORGANISATION,CEP ORGANISATION,81
MOBEL TRANSPORT LAGERSERVICE GMBH,MTL - MOEBEL TRANSPORT LAGERSERVICE,85
ANNETTE MODEL AGENCY,MANCHESTER MODEL AGENCY,84
LIQUID MEDIA S.L.,"LIQUID MEDIA, S.L.",100
TNT UK LIMITED,TWI-UK LIMITED,86
TNT UK LIMITED,METO UK LIMITED,83
TNT UK LIMITED,O2 UK LIMITED,81
APCO EUROPE,ACE EUROPE,86
APCO EUROPE,CTOP EUROPE,82
3 PROTECTION,DATA PROTECTION,81
CHRISTEL SCHLEGEL,"SCHLEGEL, CHRISTEL",100
STUDIO LEGALE MONDINI-RUSCONI ASS.P,STUDIO LEGALE MONDINI RUSCONI,91
DRYCE ITALIA S.R.L.,CPM ITALIA S.R.L.,82
ALLES,ALES,89
PDP MONMENTUM LIMITED,NDI MOMENTUM LIMITED,88
SOCIETA' IT.DEGLI AUTORI ED EDITORI,SOCIETA'ITALIANA DEGLI AUTORI ED ED,84
FOTODESIGN - MARCUS MUELLER,MM FOTODESIGN - MARCUS MUELLER,94
STUDIO LEGALE FERRACUTI,STUDIO LEGALE CHIERICI,80
INTERNATIONAL MANAGEMENT FORUM,DOXFORD INTERNATIONAL MANAGEMENT,90
TNT INTERNATIONAL            D,TONGE INTERNATIONAL,84
TNT INTERNATIONAL            D,NOVA INTERNATIONAL,81
GE INFORMATION SERVICES,EUROPE INFORMATION SERVICE,86
ROTULOS AYLLON S.A.,"ROTULOS AYLLON,S.A.",100
"BORRIAS GROUP, DE",DE BORRIAS GROEP,94
AMETIF,AMET,80
S.A.R.T,ST S.R.L.,80
S.A.R.T,XT S.R.L.,80
STUDIO LEGALE ASSOCIATO,STUDIO LEGALE ASSOCIATO CIRILLO,85
CMS VON ERLACH KLAINGUTI STETTLER W,ERLACH KLAINGUTI STETTLER WILLE,82
MESSE MUENCHEN GMBH,GOLF MESSE MUENCHEN,84
AM ENVIROMENTAL SERVICES,RMG ENVIROMENTAL SERVICES,86
AM ENVIROMENTAL SERVICES,ALBANY ENVIRONMENTAL SERVICES LTD,81
GREENLEAF PUBLISHING LTD,GEE PUBLISHING LTD,86
ISLAND PACIFIC UK,ISLAND PACIFIC,90
ELECTRIC LTD,ELECTROSONIC LTD,86
ENTERPRISE AUTOVERMIETUNG GMBH,ENTERPRISE AUTOVERMIETUNG,91
ENTERPRISE AUTOVERMIETUNG GMBH,ENTERPRISE AUTOVERMIETUNG - HAMBURG,89
ENTERPRISE AUTOVERMIETUNG GMBH,ENTERPRISE AUTOVERMIETUNG - BERLIN,81
CANON UK LIMITED,AON LIMITED,81
CANON UK LIMITED,HANSCOMB (UK) LIMITED,80
AUTREMENT PRODUCTION D'EVENEMENTS,AUTREMENT PRODUCTION EVTS,86
SPIE COMMUNICATION,PURE COMMUNICATIONS,86
SPIE COMMUNICATION,MDS COMMUNICATION,86
SPIE COMMUNICATION,SPIN COMMUNICATIONS LTD,83
SPIE COMMUNICATION,"SPIN COMUNICATIONS, LTD",80
UNIPAK UK LTD,UNIPAK (UK),82
XT S.R.L.,ST S.R.L.,88
XT S.R.L.,S.A.R.T,80
CREATIVE TRAVEL CONNECTIONS,CREATIVE CONNECTIONS,85
HOTEL ANTONELLA SRL,HOTEL ANTONELLA S.R.L.,85
"LIQUID MEDIA, S.L.",LIQUID MEDIA S.L.,100
PRODEA  SRL,PRODEA SRL,100
EUREST,SEGURGEST,80
"SPIN COMUNICATIONS, LTD",SPIN COMMUNICATIONS LTD,98
"SPIN COMUNICATIONS, LTD",SIEMENS COMMUNICATIONS LTD,88
"SPIN COMUNICATIONS, LTD",M-R-S COMMUNICATIONS LTD,83
"SPIN COMUNICATIONS, LTD",SPIE COMMUNICATION,80
ART S.R.L.,GIMAR S.R.L.,80
P & A SHOPFITTERS,G.E.L. SHOPFITTERS,81
M T COMMUNICATIONS,EMAP COMMUNICATIONS LTD,88
M T COMMUNICATIONS,MDS COMMUNICATION,86
M T COMMUNICATIONS,KANE COMMUNICATIONS LTD,83
M T COMMUNICATIONS,KYMACK COMMUNICATIONS,82
JB SPORTS MARKETING AG,A & S SPORTS MARKETING,86
AROMEDIA,ROMEDIA,93
POULIS HONTELE,POULIS HONTELE BV,90
